id,correct,question,refs,a,b,c,d,figure,correct_letter
T1A01,2,Which of the following is part of the Basis and Purpose of the Amateur Radio Service?,[97.1],Providing personal radio communications for as many citizens as possible,Providing communications for international contesting,Advancing skills in the technical and communication phases of the radio art,All these choices are correct,,C
T1A02,2,Which agency regulates and enforces the rules for the Amateur Radio Service in the United States?,[97.1],ARRL,Homeland Security,The FCC,All these choices are correct,,C
T1A03,1,What do the FCC rules state regarding the use of a phonetic alphabet for station identification in the Amateur Radio Service?,[97.119(b)(2)],It is required when transmitting emergency messages,It is encouraged when using phone emissions,It is required when in contact with foreign stations,All these choices are correct,,B
T1A04,0,How do you receive official notification of your new license and call sign after passing the exam?,[97.23],Email from the FCC with a link to download the license grant,USPS First-Class Mail from the FCC,Email from the lead volunteer examiner,USPS First-Class Mail from the lead volunteer examiner,,A
T1A05,2,What proves that the FCC has issued an operator/primary license grant?,[97.7],A printed copy of the certificate of successful completion of examination,An email notification from the NCVEC granting the license,The license appears in the FCC ULS database,All these choices are correct,,C
T1A06,3,On which of the following HF frequencies can automatically controlled amateur propagation beacons be found?,[97.203(d)],Anywhere in the Technician portion of 10 meters,"Anywhere, if they are registered with the FCC",In a specific portion of each of the HF Technician bands,"On ten meters, between 28.200 MHz and 28.300 MHz",,D
T1A07,2,What is the FCC Part 97 definition of a space station?,[97.3(a)(41)],Any satellite orbiting Earth,A manned satellite orbiting Earth,An amateur station located more than 50 km above Earth's surface,An amateur station using amateur radio satellites for relay of signals,,C
T1A08,1,Who recommends transmit/receive channels for repeater and auxiliary stations?,[97.3(a)(22)],A Frequency Spectrum Manager appointed by the FCC,A Volunteer Frequency Coordinator recognized by local amateurs,An FCC Regional Field Office,The International Telecommunication Union,,B
T1A09,2,Who selects a Frequency Coordinator?,[97.3(a)(22)],The FCC Office of Spectrum Management and Coordination Policy,The local chapter of the Office of National Council of Independent Frequency Coordinators,Amateur operators in a local or regional area whose stations are eligible to be repeater or auxiliary stations,The FCC Regional Field Office,,C
T1A10,2,"Besides an FCC-issued amateur operator license, what is required to be the control operator of a Radio Amateur Civil Emergency Service (RACES) Station?",[97.407(a)],A written recommendation by the local ARRL Emergency Coordinator,Membership in the Amateur Radio Emergency Service (ARES),Certification of current enrollment by a civil defense organization,Nothing,,C
T1A11,1,Which of the following is prohibited?,[97.101(d)],International communications on VHF bands and higher frequencies,Willful or malicious interference,Third-party traffic using digital modes,All these choices are correct,,B
T1B01,2,Which of the following frequency ranges are available for phone operation by Technician licensees?,[97.301(e)],28.050 MHz to 28.150 MHz,28.100 MHz to 28.300 MHz,28.300 MHz to 28.500 MHz,28.500 MHz to 28.600 MHz,,C
T1B02,1,Which of the following U.S. amateur radio operators are allowed to contact the International Space Station (ISS) on VHF bands?,"[97.301, 97.207(c)]",Only amateurs with a General class or higher license,Any amateur with a Technician class or higher license,"Only amateurs with a General class or higher license, and NASA approval","Any amateurs with a Technician class or higher license, and NASA approval",,B
